#Table1
z,zErr,petroMag_g,petroMagErr_g,ra,dec,bestObjID
0.3230632,3.353723E-05,20.00971,0.04646977,134.880195921602,56.3132677124603,1237660935554859281
0.3527753,7.228317E-05,19.22798,0.02283041,133.566758158501,32.8602213021789,1237660962937766148
0.3695496,3.348977E-05,19.59742,0.0181995,123.143267486324,22.5421370387721,1237661085881794846
0.3786474,4.380972E-05,22.56174,0.3703507,185.65875853399,57.2803466544058,1237661352707424946
0.367478,4.604835E-05,19.25006,0.01916267,190.243544805927,47.5505718269485,1237661357545947198
0.3770599,6.803118E-05,20.52959,0.04217825,156.959927169089,44.5263142602413,1237661358072725704
0.3647184,7.124009E-05,19.42543,0.01862052,157.063610714902,37.766753995431,1237661381702779053
0.3792571,0.0001013109,19.79616,0.02596949,229.312101156801,47.7265772321802,1237661386536255691
0.3168783,2.786259E-05,19.12488,0.01144304,204.32701629685,45.3930981210878,1237661433777356984
0.3760937,5.018276E-05,20.87327,0.1421795,197.927747010131,46.6898703774906,1237661434312261638
0.358595,2.972188E-05,19.75022,0.02143886,176.365257255184,44.0574100256837,1237661850392985678
0.3611721,4.356318E-05,19.97346,0.03703686,156.52381646727,42.0240191792974,1237661851997241348
0.35673,5.666724E-05,18.81865,0.01319758,176.001135558344,45.7353480766545,1237661852540403964
0.3222277,3.408525E-05,19.74578,0.01891798,186.15506518592,43.8411335851536,1237661871330230364
0.3981156,2.679555E-05,18.1263,0.006403462,190.225563282159,43.8118892944942,1237661871331475505
0.3898802,0.0001239301,19.3118,0.01493495,173.760597311907,43.8062275729913,1237661871863169251
0.337892,2.544423E-05,19.36288,0.02828638,201.017508722972,43.5686477450579,1237661872408625318
0.3419842,4.108921E-05,20.31216,0.03018249,222.846061999537,39.3477860578958,1237661874026578161
0.3833625,6.471267E-05,19.59101,0.02305171,178.840356495533,13.1826930642572,1237661950788829222
0.3249289,3.575883E-05,20.24541,0.1069288,191.443469213725,42.4695052762014,1237661967432220813
0.3024445,8.848846E-05,19.52013,0.01890648,178.050684312592,43.2712141281932,1237661968501637241
0.358368,2.037797E-05,18.61351,0.02542994,197.352614974297,7.13877209861581,1237661975478796399
0.3948685,3.350166E-05,19.03663,0.0159021,203.118784493361,40.5293419674121,1237662193995612303
0.3854271,8.281394E-05,20.17372,0.08043118,164.219340955768,40.9622573727268,1237662195056574713
0.3606113,4.474877E-05,20.53124,0.04207037,200.228038595002,42.1737948394737,1237662195605176614
0.3196362,5.977753E-05,18.60341,0.008542771,221.793041775916,37.0503345575141,1237662195612778529
0.3604454,6.643999E-05,19.59159,0.01954949,213.883055387147,11.4807522487982,1237662199888150789
0.3173556,2.59088E-05,18.88918,0.02312575,194.723196621214,38.5310918424489,1237662223533932643
0.3750368,4.637699E-05,19.3462,0.01966214,152.574188760953,34.4398113248528,1237662224055992471
0.3344482,4.965302E-05,17.63864,0.004251832,244.699722546151,21.9904089327344,1237662224090792035
0.3861804,6.669091E-05,21.774,0.1497381,168.029673975796,38.3350337833379,1237662224598565042
0.3081827,3.889373E-05,19.81659,0.02634006,179.032689696074,40.4540704276439,1237662225676107888
